Country Code,SIEC Code,Consumption in KTOE,SIEC,Country,Parent,Renewable,Sunburst_Parent,Sunburst_SIEC
AT,C0121,1208.7,Coking coal,Austria,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coking coal
BE,C0121,1143.2,Coking coal,Belgium,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coking coal
CZ,C0121,2429.4,Coking coal,Czechia,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coking coal
DE,C0121,7096.0,Coking coal,Germany,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coking coal
ES,C0121,475.8,Coking coal,Spain,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coking coal
FI,C0121,757.2,Coking coal,Finland,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coking coal
FR,C0121,2253.8,Coking coal,France,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coking coal
HU,C0121,820.3,Coking coal,Hungary,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coking coal
IT,C0121,1169.4,Coking coal,Italy,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coking coal
NL,C0121,2678.8,Coking coal,Netherlands,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coking coal
PL,C0121,9903.6,Coking coal,Poland,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coking coal
RO,C0121,8.3,Coking coal,Romania,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coking coal
SE,C0121,1017.5,Coking coal,Sweden,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coking coal
SK,C0121,1362.1,Coking coal,Slovakia,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coking coal
AT,C0129,705.8,Other bituminous coal,Austria,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
BE,C0129,841.2,Other bituminous coal,Belgium,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
BG,C0129,445.9,Other bituminous coal,Bulgaria,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
CY,C0129,14.8,Other bituminous coal,Cyprus,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
CZ,C0129,1486.2,Other bituminous coal,Czechia,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
DE,C0129,13824.1,Other bituminous coal,Germany,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
DK,C0129,897.1,Other bituminous coal,Denmark,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
EE,C0129,7.3,Other bituminous coal,Estonia,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
EL,C0129,186.7,Other bituminous coal,Greece,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
ES,C0129,2313.4,Other bituminous coal,Spain,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
FI,C0129,1001.0,Other bituminous coal,Finland,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
FR,C0129,2644.4,Other bituminous coal,France,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
HR,C0129,354.7,Other bituminous coal,Croatia,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
HU,C0129,67.0,Other bituminous coal,Hungary,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
IE,C0129,377.7,Other bituminous coal,Ireland,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
IT,C0129,3785.5,Other bituminous coal,Italy,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
LT,C0129,121.7,Other bituminous coal,Lithuania,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
LU,C0129,35.3,Other bituminous coal,Luxembourg,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
LV,C0129,25.6,Other bituminous coal,Latvia,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
NL,C0129,1540.2,Other bituminous coal,Netherlands,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
PL,C0129,29249.2,Other bituminous coal,Poland,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
PT,C0129,604.4,Other bituminous coal,Portugal,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
SE,C0129,583.1,Other bituminous coal,Sweden,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
SI,C0129,8.3,Other bituminous coal,Slovenia,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
SK,C0129,310.3,Other bituminous coal,Slovakia,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Other bituminous coal
AT,C0220,1.2,Lignite,Austria,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Lignite
BG,C0220,3746.7,Lignite,Bulgaria,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Lignite
CZ,C0220,9290.6,Lignite,Czechia,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Lignite
DE,C0220,23495.1,Lignite,Germany,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Lignite
EL,C0220,1668.4,Lignite,Greece,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Lignite
FR,C0220,22.6,Lignite,France,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Lignite
HR,C0220,7.1,Lignite,Croatia,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Lignite
HU,C0220,967.6,Lignite,Hungary,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Lignite
IT,C0220,0.3,Lignite,Italy,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Lignite
NL,C0220,7.6,Lignite,Netherlands,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Lignite
PL,C0220,8857.8,Lignite,Poland,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Lignite
RO,C0220,2721.1,Lignite,Romania,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Lignite
SI,C0220,865.4,Lignite,Slovenia,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Lignite
SK,C0220,474.4,Lignite,Slovakia,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Lignite
AT,C0311,560.8,Coke oven coke,Austria,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coke oven coke
BE,C0311,152.0,Coke oven coke,Belgium,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coke oven coke
BG,C0311,47.9,Coke oven coke,Bulgaria,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coke oven coke
CZ,C0311,209.9,Coke oven coke,Czechia,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coke oven coke
DE,C0311,1094.6,Coke oven coke,Germany,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coke oven coke
DK,C0311,13.8,Coke oven coke,Denmark,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coke oven coke
EE,C0311,2.7,Coke oven coke,Estonia,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coke oven coke
ES,C0311,579.9,Coke oven coke,Spain,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coke oven coke
FI,C0311,210.6,Coke oven coke,Finland,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coke oven coke
FR,C0311,422.0,Coke oven coke,France,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coke oven coke
HR,C0311,21.1,Coke oven coke,Croatia,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coke oven coke
HU,C0311,5.6,Coke oven coke,Hungary,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coke oven coke
IT,C0311,295.2,Coke oven coke,Italy,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coke oven coke
LT,C0311,12.8,Coke oven coke,Lithuania,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coke oven coke
LU,C0311,0.1,Coke oven coke,Luxembourg,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coke oven coke
LV,C0311,0.0,Coke oven coke,Latvia,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coke oven coke
NL,C0311,66.8,Coke oven coke,Netherlands,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coke oven coke
PL,C0311,522.5,Coke oven coke,Poland,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coke oven coke
PT,C0311,7.5,Coke oven coke,Portugal,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coke oven coke
RO,C0311,449.5,Coke oven coke,Romania,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coke oven coke
SE,C0311,102.6,Coke oven coke,Sweden,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coke oven coke
SI,C0311,19.5,Coke oven coke,Slovenia,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coke oven coke
SK,C0311,114.6,Coke oven coke,Slovakia,Solid fossil fuels and peat,Non-renewable,Solid fossil fuels and peat,Coke oven coke
BE,C0350-0370,21.2,Manufactured gases,Belgium,Gas,Non-renewable,Gas,Manufactured gases
DE,C0350-0370,0.0,Manufactured gases,Germany,Gas,Non-renewable,Gas,Manufactured gases
AT,E7000,2108.6,Electricity,Austria,Other non-renewable,Non-renewable,Other non-renewable,Electricity
BE,E7000,1179.9,Electricity,Belgium,Other non-renewable,Non-renewable,Other non-renewable,Electricity
BG,E7000,318.7,Electricity,Bulgaria,Other non-renewable,Non-renewable,Other non-renewable,Electricity
CZ,E7000,1149.4,Electricity,Czechia,Other non-renewable,Non-renewable,Other non-renewable,Electricity
DE,E7000,4114.6,Electricity,Germany,Other non-renewable,Non-renewable,Other non-renewable,Electricity
DK,E7000,1598.8,Electricity,Denmark,Other non-renewable,Non-renewable,Other non-renewable,Electricity
EE,E7000,633.4,Electricity,Estonia,Other non-renewable,Non-renewable,Other non-renewable,Electricity
EL,E7000,848.8,Electricity,Greece,Other non-renewable,Non-renewable,Other non-renewable,Electricity
ES,E7000,1541.6,Electricity,Spain,Other non-renewable,Non-renewable,Other non-renewable,Electricity
FI,E7000,1861.5,Electricity,Finland,Other non-renewable,Non-renewable,Other non-renewable,Electricity
FR,E7000,1679.8,Electricity,France,Other non-renewable,Non-renewable,Other non-renewable,Electricity
HR,E7000,902.1,Electricity,Croatia,Other non-renewable,Non-renewable,Other non-renewable,Electricity
HU,E7000,1648.8,Electricity,Hungary,Other non-renewable,Non-renewable,Other non-renewable,Electricity
IE,E7000,174.2,Electricity,Ireland,Other non-renewable,Non-renewable,Other non-renewable,Electricity
IT,E7000,3421.3,Electricity,Italy,Other non-renewable,Non-renewable,Other non-renewable,Electricity
LT,E7000,1033.0,Electricity,Lithuania,Other non-renewable,Non-renewable,Other non-renewable,Electricity
LU,E7000,562.8,Electricity,Luxembourg,Other non-renewable,Non-renewable,Other non-renewable,Electricity
LV,E7000,358.8,Electricity,Latvia,Other non-renewable,Non-renewable,Other non-renewable,Electricity
MT,E7000,36.1,Electricity,Malta,Other non-renewable,Non-renewable,Other non-renewable,Electricity
NL,E7000,1806.8,Electricity,Netherlands,Other non-renewable,Non-renewable,Other non-renewable,Electricity
PL,E7000,1773.4,Electricity,Poland,Other non-renewable,Non-renewable,Other non-renewable,Electricity
PT,E7000,649.5,Electricity,Portugal,Other non-renewable,Non-renewable,Other non-renewable,Electricity
RO,E7000,709.5,Electricity,Romania,Other non-renewable,Non-renewable,Other non-renewable,Electricity
SE,E7000,1016.9,Electricity,Sweden,Other non-renewable,Non-renewable,Other non-renewable,Electricity
SI,E7000,612.2,Electricity,Slovenia,Other non-renewable,Non-renewable,Other non-renewable,Electricity
SK,E7000,1142.6,Electricity,Slovakia,Other non-renewable,Non-renewable,Other non-renewable,Electricity
AT,G3000,15624.3,Natural gas,Austria,Gas,Non-renewable,Gas,Natural gas
BE,G3000,18086.9,Natural gas,Belgium,Gas,Non-renewable,Gas,Natural gas
BG,G3000,2523.8,Natural gas,Bulgaria,Gas,Non-renewable,Gas,Natural gas
CZ,G3000,7276.1,Natural gas,Czechia,Gas,Non-renewable,Gas,Natural gas
DE,G3000,75276.2,Natural gas,Germany,Gas,Non-renewable,Gas,Natural gas
DK,G3000,3536.7,Natural gas,Denmark,Gas,Non-renewable,Gas,Natural gas
EE,G3000,369.8,Natural gas,Estonia,Gas,Non-renewable,Gas,Natural gas
EL,G3000,4997.8,Natural gas,Greece,Gas,Non-renewable,Gas,Natural gas
ES,G3000,28955.6,Natural gas,Spain,Gas,Non-renewable,Gas,Natural gas
FI,G3000,2134.6,Natural gas,Finland,Gas,Non-renewable,Gas,Natural gas
FR,G3000,43065.4,Natural gas,France,Gas,Non-renewable,Gas,Natural gas
HR,G3000,2568.8,Natural gas,Croatia,Gas,Non-renewable,Gas,Natural gas
HU,G3000,12491.1,Natural gas,Hungary,Gas,Non-renewable,Gas,Natural gas
IE,G3000,4619.5,Natural gas,Ireland,Gas,Non-renewable,Gas,Natural gas
IT,G3000,58544.3,Natural gas,Italy,Gas,Non-renewable,Gas,Natural gas
LT,G3000,2403.6,Natural gas,Lithuania,Gas,Non-renewable,Gas,Natural gas
LU,G3000,621.3,Natural gas,Luxembourg,Gas,Non-renewable,Gas,Natural gas
LV,G3000,911.2,Natural gas,Latvia,Gas,Non-renewable,Gas,Natural gas
MT,G3000,318.2,Natural gas,Malta,Gas,Non-renewable,Gas,Natural gas
NL,G3000,60199.9,Natural gas,Netherlands,Gas,Non-renewable,Gas,Natural gas
PL,G3000,18245.9,Natural gas,Poland,Gas,Non-renewable,Gas,Natural gas
PT,G3000,5207.6,Natural gas,Portugal,Gas,Non-renewable,Gas,Natural gas
RO,G3000,9797.2,Natural gas,Romania,Gas,Non-renewable,Gas,Natural gas
SE,G3000,1297.9,Natural gas,Sweden,Gas,Non-renewable,Gas,Natural gas
SI,G3000,735.6,Natural gas,Slovenia,Gas,Non-renewable,Gas,Natural gas
SK,G3000,4088.3,Natural gas,Slovakia,Gas,Non-renewable,Gas,Natural gas
AT,H8000,3.4,Heat,Austria,Other non-renewable,Non-renewable,Other non-renewable,Heat
BE,H8000,325.5,Heat,Belgium,Other non-renewable,Non-renewable,Other non-renewable,Heat
BG,H8000,80.1,Heat,Bulgaria,Other non-renewable,Non-renewable,Other non-renewable,Heat
CZ,H8000,22.5,Heat,Czechia,Other non-renewable,Non-renewable,Other non-renewable,Heat
DK,H8000,2.6,Heat,Denmark,Other non-renewable,Non-renewable,Other non-renewable,Heat
EE,H8000,51.2,Heat,Estonia,Other non-renewable,Non-renewable,Other non-renewable,Heat
FI,H8000,138.6,Heat,Finland,Other non-renewable,Non-renewable,Other non-renewable,Heat
FR,H8000,161.2,Heat,France,Other non-renewable,Non-renewable,Other non-renewable,Heat
LT,H8000,230.5,Heat,Lithuania,Other non-renewable,Non-renewable,Other non-renewable,Heat
NL,H8000,300.6,Heat,Netherlands,Other non-renewable,Non-renewable,Other non-renewable,Heat
PL,H8000,26.6,Heat,Poland,Other non-renewable,Non-renewable,Other non-renewable,Heat
RO,H8000,29.5,Heat,Romania,Other non-renewable,Non-renewable,Other non-renewable,Heat
SK,H8000,1.6,Heat,Slovakia,Other non-renewable,Non-renewable,Other non-renewable,Heat
BE,N900H,8370.0,Nuclear heat,Belgium,Other non-renewable,Non-renewable,Other non-renewable,Nuclear heat
BG,N900H,4334.7,Nuclear heat,Bulgaria,Other non-renewable,Non-renewable,Other non-renewable,Nuclear heat
CZ,N900H,7496.3,Nuclear heat,Czechia,Other non-renewable,Non-renewable,Other non-renewable,Nuclear heat
DE,N900H,16576.8,Nuclear heat,Germany,Other non-renewable,Non-renewable,Other non-renewable,Nuclear heat
ES,N900H,15174.0,Nuclear heat,Spain,Other non-renewable,Non-renewable,Other non-renewable,Nuclear heat
FI,N900H,5547.6,Nuclear heat,Finland,Other non-renewable,Non-renewable,Other non-renewable,Nuclear heat
FR,N900H,92211.0,Nuclear heat,France,Other non-renewable,Non-renewable,Other non-renewable,Nuclear heat
HU,N900H,4053.0,Nuclear heat,Hungary,Other non-renewable,Non-renewable,Other non-renewable,Nuclear heat
NL,N900H,955.9,Nuclear heat,Netherlands,Other non-renewable,Non-renewable,Other non-renewable,Nuclear heat
RO,N900H,2887.0,Nuclear heat,Romania,Other non-renewable,Non-renewable,Other non-renewable,Nuclear heat
SE,N900H,12028.0,Nuclear heat,Sweden,Other non-renewable,Non-renewable,Other non-renewable,Nuclear heat
SI,N900H,1496.9,Nuclear heat,Slovenia,Other non-renewable,Non-renewable,Other non-renewable,Nuclear heat
SK,N900H,4044.0,Nuclear heat,Slovakia,Other non-renewable,Non-renewable,Other non-renewable,Nuclear heat
AT,O4100_TOT,8204.7,Crude oil,Austria,Oil and petroleum products,Non-renewable,Oil and petroleum products,Crude oil
BE,O4100_TOT,27726.3,Crude oil,Belgium,Oil and petroleum products,Non-renewable,Oil and petroleum products,Crude oil
BG,O4100_TOT,4967.8,Crude oil,Bulgaria,Oil and petroleum products,Non-renewable,Oil and petroleum products,Crude oil
CZ,O4100_TOT,6360.6,Crude oil,Czechia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Crude oil
DE,O4100_TOT,85918.6,Crude oil,Germany,Oil and petroleum products,Non-renewable,Oil and petroleum products,Crude oil
DK,O4100_TOT,8450.8,Crude oil,Denmark,Oil and petroleum products,Non-renewable,Oil and petroleum products,Crude oil
EL,O4100_TOT,23121.1,Crude oil,Greece,Oil and petroleum products,Non-renewable,Oil and petroleum products,Crude oil
ES,O4100_TOT,55723.1,Crude oil,Spain,Oil and petroleum products,Non-renewable,Oil and petroleum products,Crude oil
FI,O4100_TOT,11150.0,Crude oil,Finland,Oil and petroleum products,Non-renewable,Oil and petroleum products,Crude oil
FR,O4100_TOT,34550.5,Crude oil,France,Oil and petroleum products,Non-renewable,Oil and petroleum products,Crude oil
HR,O4100_TOT,2593.8,Crude oil,Croatia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Crude oil
HU,O4100_TOT,6929.7,Crude oil,Hungary,Oil and petroleum products,Non-renewable,Oil and petroleum products,Crude oil
IE,O4100_TOT,2969.4,Crude oil,Ireland,Oil and petroleum products,Non-renewable,Oil and petroleum products,Crude oil
IT,O4100_TOT,55826.7,Crude oil,Italy,Oil and petroleum products,Non-renewable,Oil and petroleum products,Crude oil
LT,O4100_TOT,7969.8,Crude oil,Lithuania,Oil and petroleum products,Non-renewable,Oil and petroleum products,Crude oil
NL,O4100_TOT,51794.6,Crude oil,Netherlands,Oil and petroleum products,Non-renewable,Oil and petroleum products,Crude oil
PL,O4100_TOT,26384.4,Crude oil,Poland,Oil and petroleum products,Non-renewable,Oil and petroleum products,Crude oil
PT,O4100_TOT,11208.0,Crude oil,Portugal,Oil and petroleum products,Non-renewable,Oil and petroleum products,Crude oil
RO,O4100_TOT,10432.6,Crude oil,Romania,Oil and petroleum products,Non-renewable,Oil and petroleum products,Crude oil
SE,O4100_TOT,18699.5,Crude oil,Sweden,Oil and petroleum products,Non-renewable,Oil and petroleum products,Crude oil
SI,O4100_TOT,0.3,Crude oil,Slovenia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Crude oil
SK,O4100_TOT,5674.8,Crude oil,Slovakia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Crude oil
AT,O4200-4500,158.8,Other primary oil,Austria,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other primary oil
BE,O4200-4500,1406.4,Other primary oil,Belgium,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other primary oil
BG,O4200-4500,116.2,Other primary oil,Bulgaria,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other primary oil
CZ,O4200-4500,36.5,Other primary oil,Czechia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other primary oil
DE,O4200-4500,1348.0,Other primary oil,Germany,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other primary oil
DK,O4200-4500,64.2,Other primary oil,Denmark,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other primary oil
EL,O4200-4500,4521.8,Other primary oil,Greece,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other primary oil
ES,O4200-4500,4824.1,Other primary oil,Spain,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other primary oil
FI,O4200-4500,866.7,Other primary oil,Finland,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other primary oil
FR,O4200-4500,390.2,Other primary oil,France,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other primary oil
HR,O4200-4500,641.4,Other primary oil,Croatia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other primary oil
HU,O4200-4500,412.5,Other primary oil,Hungary,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other primary oil
IE,O4200-4500,4.3,Other primary oil,Ireland,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other primary oil
IT,O4200-4500,3985.3,Other primary oil,Italy,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other primary oil
LT,O4200-4500,186.9,Other primary oil,Lithuania,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other primary oil
LV,O4200-4500,0.0,Other primary oil,Latvia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other primary oil
NL,O4200-4500,8134.7,Other primary oil,Netherlands,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other primary oil
PL,O4200-4500,304.2,Other primary oil,Poland,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other primary oil
PT,O4200-4500,891.6,Other primary oil,Portugal,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other primary oil
RO,O4200-4500,1174.0,Other primary oil,Romania,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other primary oil
SE,O4200-4500,1365.6,Other primary oil,Sweden,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other primary oil
SI,O4200-4500,0.2,Other primary oil,Slovenia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other primary oil
SK,O4200-4500,18.4,Other primary oil,Slovakia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other primary oil
AT,O4652XR5210B,554.3,Motor gasoline (excluding biofuel portion),Austria,Oil and petroleum products,Non-renewable,Oil and petroleum products,Motor gasoline (excluding biofuel portion)
BE,O4652XR5210B,717.4,Motor gasoline (excluding biofuel portion),Belgium,Oil and petroleum products,Non-renewable,Oil and petroleum products,Motor gasoline (excluding biofuel portion)
BG,O4652XR5210B,290.3,Motor gasoline (excluding biofuel portion),Bulgaria,Oil and petroleum products,Non-renewable,Oil and petroleum products,Motor gasoline (excluding biofuel portion)
CY,O4652XR5210B,324.8,Motor gasoline (excluding biofuel portion),Cyprus,Oil and petroleum products,Non-renewable,Oil and petroleum products,Motor gasoline (excluding biofuel portion)
CZ,O4652XR5210B,617.1,Motor gasoline (excluding biofuel portion),Czechia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Motor gasoline (excluding biofuel portion)
DE,O4652XR5210B,1968.2,Motor gasoline (excluding biofuel portion),Germany,Oil and petroleum products,Non-renewable,Oil and petroleum products,Motor gasoline (excluding biofuel portion)
DK,O4652XR5210B,464.5,Motor gasoline (excluding biofuel portion),Denmark,Oil and petroleum products,Non-renewable,Oil and petroleum products,Motor gasoline (excluding biofuel portion)
EE,O4652XR5210B,725.1,Motor gasoline (excluding biofuel portion),Estonia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Motor gasoline (excluding biofuel portion)
EL,O4652XR5210B,491.3,Motor gasoline (excluding biofuel portion),Greece,Oil and petroleum products,Non-renewable,Oil and petroleum products,Motor gasoline (excluding biofuel portion)
ES,O4652XR5210B,1270.8,Motor gasoline (excluding biofuel portion),Spain,Oil and petroleum products,Non-renewable,Oil and petroleum products,Motor gasoline (excluding biofuel portion)
FI,O4652XR5210B,638.5,Motor gasoline (excluding biofuel portion),Finland,Oil and petroleum products,Non-renewable,Oil and petroleum products,Motor gasoline (excluding biofuel portion)
FR,O4652XR5210B,1436.6,Motor gasoline (excluding biofuel portion),France,Oil and petroleum products,Non-renewable,Oil and petroleum products,Motor gasoline (excluding biofuel portion)
HR,O4652XR5210B,137.4,Motor gasoline (excluding biofuel portion),Croatia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Motor gasoline (excluding biofuel portion)
HU,O4652XR5210B,451.9,Motor gasoline (excluding biofuel portion),Hungary,Oil and petroleum products,Non-renewable,Oil and petroleum products,Motor gasoline (excluding biofuel portion)
IE,O4652XR5210B,460.3,Motor gasoline (excluding biofuel portion),Ireland,Oil and petroleum products,Non-renewable,Oil and petroleum products,Motor gasoline (excluding biofuel portion)
IT,O4652XR5210B,592.0,Motor gasoline (excluding biofuel portion),Italy,Oil and petroleum products,Non-renewable,Oil and petroleum products,Motor gasoline (excluding biofuel portion)
LT,O4652XR5210B,50.8,Motor gasoline (excluding biofuel portion),Lithuania,Oil and petroleum products,Non-renewable,Oil and petroleum products,Motor gasoline (excluding biofuel portion)
