Country Code,SIEC Code,Consumption in KTOE,SIEC,Country,Parent,Renewable,Sunburst_Parent,Sunburst_SIEC
LU,O4652XR5210B,264.9,Motor gasoline (excluding biofuel portion),Luxembourg,Oil and petroleum products,Non-renewable,Oil and petroleum products,Motor gasoline (excluding biofuel portion)
LV,O4652XR5210B,194.6,Motor gasoline (excluding biofuel portion),Latvia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Motor gasoline (excluding biofuel portion)
MT,O4652XR5210B,76.7,Motor gasoline (excluding biofuel portion),Malta,Oil and petroleum products,Non-renewable,Oil and petroleum products,Motor gasoline (excluding biofuel portion)
NL,O4652XR5210B,7769.3,Motor gasoline (excluding biofuel portion),Netherlands,Oil and petroleum products,Non-renewable,Oil and petroleum products,Motor gasoline (excluding biofuel portion)
PL,O4652XR5210B,357.8,Motor gasoline (excluding biofuel portion),Poland,Oil and petroleum products,Non-renewable,Oil and petroleum products,Motor gasoline (excluding biofuel portion)
PT,O4652XR5210B,209.3,Motor gasoline (excluding biofuel portion),Portugal,Oil and petroleum products,Non-renewable,Oil and petroleum products,Motor gasoline (excluding biofuel portion)
RO,O4652XR5210B,106.7,Motor gasoline (excluding biofuel portion),Romania,Oil and petroleum products,Non-renewable,Oil and petroleum products,Motor gasoline (excluding biofuel portion)
SE,O4652XR5210B,924.9,Motor gasoline (excluding biofuel portion),Sweden,Oil and petroleum products,Non-renewable,Oil and petroleum products,Motor gasoline (excluding biofuel portion)
SI,O4652XR5210B,583.2,Motor gasoline (excluding biofuel portion),Slovenia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Motor gasoline (excluding biofuel portion)
SK,O4652XR5210B,203.6,Motor gasoline (excluding biofuel portion),Slovakia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Motor gasoline (excluding biofuel portion)
AT,O4661XR5230B,55.2,Kerosene-type jet fuel (excluding biofuel portion),Austria,Oil and petroleum products,Non-renewable,Oil and petroleum products,Kerosene-type jet fuel (excluding biofuel portion)
BE,O4661XR5230B,978.2,Kerosene-type jet fuel (excluding biofuel portion),Belgium,Oil and petroleum products,Non-renewable,Oil and petroleum products,Kerosene-type jet fuel (excluding biofuel portion)
BG,O4661XR5230B,16.9,Kerosene-type jet fuel (excluding biofuel portion),Bulgaria,Oil and petroleum products,Non-renewable,Oil and petroleum products,Kerosene-type jet fuel (excluding biofuel portion)
CY,O4661XR5230B,103.4,Kerosene-type jet fuel (excluding biofuel portion),Cyprus,Oil and petroleum products,Non-renewable,Oil and petroleum products,Kerosene-type jet fuel (excluding biofuel portion)
CZ,O4661XR5230B,108.6,Kerosene-type jet fuel (excluding biofuel portion),Czechia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Kerosene-type jet fuel (excluding biofuel portion)
DE,O4661XR5230B,3094.4,Kerosene-type jet fuel (excluding biofuel portion),Germany,Oil and petroleum products,Non-renewable,Oil and petroleum products,Kerosene-type jet fuel (excluding biofuel portion)
DK,O4661XR5230B,552.1,Kerosene-type jet fuel (excluding biofuel portion),Denmark,Oil and petroleum products,Non-renewable,Oil and petroleum products,Kerosene-type jet fuel (excluding biofuel portion)
EE,O4661XR5230B,25.2,Kerosene-type jet fuel (excluding biofuel portion),Estonia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Kerosene-type jet fuel (excluding biofuel portion)
EL,O4661XR5230B,271.6,Kerosene-type jet fuel (excluding biofuel portion),Greece,Oil and petroleum products,Non-renewable,Oil and petroleum products,Kerosene-type jet fuel (excluding biofuel portion)
ES,O4661XR5230B,1334.5,Kerosene-type jet fuel (excluding biofuel portion),Spain,Oil and petroleum products,Non-renewable,Oil and petroleum products,Kerosene-type jet fuel (excluding biofuel portion)
FI,O4661XR5230B,199.6,Kerosene-type jet fuel (excluding biofuel portion),Finland,Oil and petroleum products,Non-renewable,Oil and petroleum products,Kerosene-type jet fuel (excluding biofuel portion)
FR,O4661XR5230B,4148.5,Kerosene-type jet fuel (excluding biofuel portion),France,Oil and petroleum products,Non-renewable,Oil and petroleum products,Kerosene-type jet fuel (excluding biofuel portion)
HR,O4661XR5230B,0.3,Kerosene-type jet fuel (excluding biofuel portion),Croatia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Kerosene-type jet fuel (excluding biofuel portion)
IE,O4661XR5230B,1027.8,Kerosene-type jet fuel (excluding biofuel portion),Ireland,Oil and petroleum products,Non-renewable,Oil and petroleum products,Kerosene-type jet fuel (excluding biofuel portion)
IT,O4661XR5230B,861.4,Kerosene-type jet fuel (excluding biofuel portion),Italy,Oil and petroleum products,Non-renewable,Oil and petroleum products,Kerosene-type jet fuel (excluding biofuel portion)
LT,O4661XR5230B,9.2,Kerosene-type jet fuel (excluding biofuel portion),Lithuania,Oil and petroleum products,Non-renewable,Oil and petroleum products,Kerosene-type jet fuel (excluding biofuel portion)
LU,O4661XR5230B,546.7,Kerosene-type jet fuel (excluding biofuel portion),Luxembourg,Oil and petroleum products,Non-renewable,Oil and petroleum products,Kerosene-type jet fuel (excluding biofuel portion)
LV,O4661XR5230B,60.7,Kerosene-type jet fuel (excluding biofuel portion),Latvia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Kerosene-type jet fuel (excluding biofuel portion)
MT,O4661XR5230B,59.8,Kerosene-type jet fuel (excluding biofuel portion),Malta,Oil and petroleum products,Non-renewable,Oil and petroleum products,Kerosene-type jet fuel (excluding biofuel portion)
NL,O4661XR5230B,4185.0,Kerosene-type jet fuel (excluding biofuel portion),Netherlands,Oil and petroleum products,Non-renewable,Oil and petroleum products,Kerosene-type jet fuel (excluding biofuel portion)
PL,O4661XR5230B,26.0,Kerosene-type jet fuel (excluding biofuel portion),Poland,Oil and petroleum products,Non-renewable,Oil and petroleum products,Kerosene-type jet fuel (excluding biofuel portion)
PT,O4661XR5230B,41.8,Kerosene-type jet fuel (excluding biofuel portion),Portugal,Oil and petroleum products,Non-renewable,Oil and petroleum products,Kerosene-type jet fuel (excluding biofuel portion)
RO,O4661XR5230B,38.7,Kerosene-type jet fuel (excluding biofuel portion),Romania,Oil and petroleum products,Non-renewable,Oil and petroleum products,Kerosene-type jet fuel (excluding biofuel portion)
SE,O4661XR5230B,674.9,Kerosene-type jet fuel (excluding biofuel portion),Sweden,Oil and petroleum products,Non-renewable,Oil and petroleum products,Kerosene-type jet fuel (excluding biofuel portion)
SI,O4661XR5230B,129.7,Kerosene-type jet fuel (excluding biofuel portion),Slovenia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Kerosene-type jet fuel (excluding biofuel portion)
SK,O4661XR5230B,6.2,Kerosene-type jet fuel (excluding biofuel portion),Slovakia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Kerosene-type jet fuel (excluding biofuel portion)
AT,O4671XR5220B,4691.8,Gas oil and diesel oil (excluding biofuel portion),Austria,Oil and petroleum products,Non-renewable,Oil and petroleum products,Gas oil and diesel oil (excluding biofuel portion)
BE,O4671XR5220B,8418.4,Gas oil and diesel oil (excluding biofuel portion),Belgium,Oil and petroleum products,Non-renewable,Oil and petroleum products,Gas oil and diesel oil (excluding biofuel portion)
BG,O4671XR5220B,951.6,Gas oil and diesel oil (excluding biofuel portion),Bulgaria,Oil and petroleum products,Non-renewable,Oil and petroleum products,Gas oil and diesel oil (excluding biofuel portion)
CY,O4671XR5220B,934.2,Gas oil and diesel oil (excluding biofuel portion),Cyprus,Oil and petroleum products,Non-renewable,Oil and petroleum products,Gas oil and diesel oil (excluding biofuel portion)
CZ,O4671XR5220B,2565.7,Gas oil and diesel oil (excluding biofuel portion),Czechia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Gas oil and diesel oil (excluding biofuel portion)
DE,O4671XR5220B,18253.1,Gas oil and diesel oil (excluding biofuel portion),Germany,Oil and petroleum products,Non-renewable,Oil and petroleum products,Gas oil and diesel oil (excluding biofuel portion)
DK,O4671XR5220B,2325.1,Gas oil and diesel oil (excluding biofuel portion),Denmark,Oil and petroleum products,Non-renewable,Oil and petroleum products,Gas oil and diesel oil (excluding biofuel portion)
EE,O4671XR5220B,808.7,Gas oil and diesel oil (excluding biofuel portion),Estonia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Gas oil and diesel oil (excluding biofuel portion)
EL,O4671XR5220B,1399.0,Gas oil and diesel oil (excluding biofuel portion),Greece,Oil and petroleum products,Non-renewable,Oil and petroleum products,Gas oil and diesel oil (excluding biofuel portion)
ES,O4671XR5220B,6184.8,Gas oil and diesel oil (excluding biofuel portion),Spain,Oil and petroleum products,Non-renewable,Oil and petroleum products,Gas oil and diesel oil (excluding biofuel portion)
FI,O4671XR5220B,1971.1,Gas oil and diesel oil (excluding biofuel portion),Finland,Oil and petroleum products,Non-renewable,Oil and petroleum products,Gas oil and diesel oil (excluding biofuel portion)
FR,O4671XR5220B,25462.1,Gas oil and diesel oil (excluding biofuel portion),France,Oil and petroleum products,Non-renewable,Oil and petroleum products,Gas oil and diesel oil (excluding biofuel portion)
HR,O4671XR5220B,1499.8,Gas oil and diesel oil (excluding biofuel portion),Croatia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Gas oil and diesel oil (excluding biofuel portion)
HU,O4671XR5220B,1524.7,Gas oil and diesel oil (excluding biofuel portion),Hungary,Oil and petroleum products,Non-renewable,Oil and petroleum products,Gas oil and diesel oil (excluding biofuel portion)
IE,O4671XR5220B,2812.7,Gas oil and diesel oil (excluding biofuel portion),Ireland,Oil and petroleum products,Non-renewable,Oil and petroleum products,Gas oil and diesel oil (excluding biofuel portion)
IT,O4671XR5220B,4659.2,Gas oil and diesel oil (excluding biofuel portion),Italy,Oil and petroleum products,Non-renewable,Oil and petroleum products,Gas oil and diesel oil (excluding biofuel portion)
LT,O4671XR5220B,563.3,Gas oil and diesel oil (excluding biofuel portion),Lithuania,Oil and petroleum products,Non-renewable,Oil and petroleum products,Gas oil and diesel oil (excluding biofuel portion)
LU,O4671XR5220B,1569.3,Gas oil and diesel oil (excluding biofuel portion),Luxembourg,Oil and petroleum products,Non-renewable,Oil and petroleum products,Gas oil and diesel oil (excluding biofuel portion)
LV,O4671XR5220B,1498.9,Gas oil and diesel oil (excluding biofuel portion),Latvia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Gas oil and diesel oil (excluding biofuel portion)
MT,O4671XR5220B,693.7,Gas oil and diesel oil (excluding biofuel portion),Malta,Oil and petroleum products,Non-renewable,Oil and petroleum products,Gas oil and diesel oil (excluding biofuel portion)
NL,O4671XR5220B,12171.7,Gas oil and diesel oil (excluding biofuel portion),Netherlands,Oil and petroleum products,Non-renewable,Oil and petroleum products,Gas oil and diesel oil (excluding biofuel portion)
PL,O4671XR5220B,4389.8,Gas oil and diesel oil (excluding biofuel portion),Poland,Oil and petroleum products,Non-renewable,Oil and petroleum products,Gas oil and diesel oil (excluding biofuel portion)
PT,O4671XR5220B,937.3,Gas oil and diesel oil (excluding biofuel portion),Portugal,Oil and petroleum products,Non-renewable,Oil and petroleum products,Gas oil and diesel oil (excluding biofuel portion)
RO,O4671XR5220B,1298.7,Gas oil and diesel oil (excluding biofuel portion),Romania,Oil and petroleum products,Non-renewable,Oil and petroleum products,Gas oil and diesel oil (excluding biofuel portion)
SE,O4671XR5220B,3374.0,Gas oil and diesel oil (excluding biofuel portion),Sweden,Oil and petroleum products,Non-renewable,Oil and petroleum products,Gas oil and diesel oil (excluding biofuel portion)
SI,O4671XR5220B,2692.6,Gas oil and diesel oil (excluding biofuel portion),Slovenia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Gas oil and diesel oil (excluding biofuel portion)
SK,O4671XR5220B,855.4,Gas oil and diesel oil (excluding biofuel portion),Slovakia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Gas oil and diesel oil (excluding biofuel portion)
AT,O4680,89.8,Fuel oil,Austria,Oil and petroleum products,Non-renewable,Oil and petroleum products,Fuel oil
BE,O4680,4242.2,Fuel oil,Belgium,Oil and petroleum products,Non-renewable,Oil and petroleum products,Fuel oil
BG,O4680,66.2,Fuel oil,Bulgaria,Oil and petroleum products,Non-renewable,Oil and petroleum products,Fuel oil
CY,O4680,768.8,Fuel oil,Cyprus,Oil and petroleum products,Non-renewable,Oil and petroleum products,Fuel oil
CZ,O4680,13.2,Fuel oil,Czechia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Fuel oil
DE,O4680,1544.6,Fuel oil,Germany,Oil and petroleum products,Non-renewable,Oil and petroleum products,Fuel oil
DK,O4680,3231.8,Fuel oil,Denmark,Oil and petroleum products,Non-renewable,Oil and petroleum products,Fuel oil
EE,O4680,507.6,Fuel oil,Estonia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Fuel oil
EL,O4680,1526.5,Fuel oil,Greece,Oil and petroleum products,Non-renewable,Oil and petroleum products,Fuel oil
ES,O4680,3892.6,Fuel oil,Spain,Oil and petroleum products,Non-renewable,Oil and petroleum products,Fuel oil
FI,O4680,463.2,Fuel oil,Finland,Oil and petroleum products,Non-renewable,Oil and petroleum products,Fuel oil
FR,O4680,1966.3,Fuel oil,France,Oil and petroleum products,Non-renewable,Oil and petroleum products,Fuel oil
HR,O4680,11.7,Fuel oil,Croatia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Fuel oil
HU,O4680,11.5,Fuel oil,Hungary,Oil and petroleum products,Non-renewable,Oil and petroleum products,Fuel oil
IE,O4680,169.7,Fuel oil,Ireland,Oil and petroleum products,Non-renewable,Oil and petroleum products,Fuel oil
IT,O4680,1183.8,Fuel oil,Italy,Oil and petroleum products,Non-renewable,Oil and petroleum products,Fuel oil
LT,O4680,113.0,Fuel oil,Lithuania,Oil and petroleum products,Non-renewable,Oil and petroleum products,Fuel oil
LU,O4680,1.1,Fuel oil,Luxembourg,Oil and petroleum products,Non-renewable,Oil and petroleum products,Fuel oil
LV,O4680,4.8,Fuel oil,Latvia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Fuel oil
MT,O4680,1885.7,Fuel oil,Malta,Oil and petroleum products,Non-renewable,Oil and petroleum products,Fuel oil
NL,O4680,19456.7,Fuel oil,Netherlands,Oil and petroleum products,Non-renewable,Oil and petroleum products,Fuel oil
PL,O4680,30.1,Fuel oil,Poland,Oil and petroleum products,Non-renewable,Oil and petroleum products,Fuel oil
PT,O4680,251.6,Fuel oil,Portugal,Oil and petroleum products,Non-renewable,Oil and petroleum products,Fuel oil
RO,O4680,2.3,Fuel oil,Romania,Oil and petroleum products,Non-renewable,Oil and petroleum products,Fuel oil
SE,O4680,950.4,Fuel oil,Sweden,Oil and petroleum products,Non-renewable,Oil and petroleum products,Fuel oil
SI,O4680,417.2,Fuel oil,Slovenia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Fuel oil
SK,O4680,25.1,Fuel oil,Slovakia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Fuel oil
AT,PP_OTH,501.0,Other petroleum products,Austria,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other petroleum products
BE,PP_OTH,10434.2,Other petroleum products,Belgium,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other petroleum products
BG,PP_OTH,932.3,Other petroleum products,Bulgaria,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other petroleum products
CY,PP_OTH,164.5,Other petroleum products,Cyprus,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other petroleum products
CZ,PP_OTH,992.6,Other petroleum products,Czechia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other petroleum products
DE,PP_OTH,11450.7,Other petroleum products,Germany,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other petroleum products
DK,PP_OTH,431.6,Other petroleum products,Denmark,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other petroleum products
EE,PP_OTH,147.9,Other petroleum products,Estonia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other petroleum products
EL,PP_OTH,478.5,Other petroleum products,Greece,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other petroleum products
ES,PP_OTH,3780.8,Other petroleum products,Spain,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other petroleum products
FI,PP_OTH,2609.2,Other petroleum products,Finland,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other petroleum products
FR,PP_OTH,13286.8,Other petroleum products,France,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other petroleum products
HR,PP_OTH,331.7,Other petroleum products,Croatia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other petroleum products
HU,PP_OTH,1222.2,Other petroleum products,Hungary,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other petroleum products
IE,PP_OTH,925.0,Other petroleum products,Ireland,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other petroleum products
IT,PP_OTH,6413.4,Other petroleum products,Italy,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other petroleum products
LT,PP_OTH,194.8,Other petroleum products,Lithuania,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other petroleum products
LU,PP_OTH,37.8,Other petroleum products,Luxembourg,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other petroleum products
LV,PP_OTH,305.4,Other petroleum products,Latvia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other petroleum products
MT,PP_OTH,34.1,Other petroleum products,Malta,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other petroleum products
NL,PP_OTH,32233.9,Other petroleum products,Netherlands,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other petroleum products
PL,PP_OTH,3290.7,Other petroleum products,Poland,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other petroleum products
PT,PP_OTH,1487.1,Other petroleum products,Portugal,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other petroleum products
RO,PP_OTH,1243.2,Other petroleum products,Romania,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other petroleum products
SE,PP_OTH,2051.3,Other petroleum products,Sweden,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other petroleum products
SI,PP_OTH,289.7,Other petroleum products,Slovenia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other petroleum products
SK,PP_OTH,534.0,Other petroleum products,Slovakia,Oil and petroleum products,Non-renewable,Oil and petroleum products,Other petroleum products
AT,R5110-5150_W6000RI,5059.3,Primary solid biofuels,Austria,Other Renewable,Renewable,Other Renewable,Primary solid biofuels
BE,R5110-5150_W6000RI,1842.7,Primary solid biofuels,Belgium,Other Renewable,Renewable,Other Renewable,Primary solid biofuels
BG,R5110-5150_W6000RI,1737.1,Primary solid biofuels,Bulgaria,Other Renewable,Renewable,Other Renewable,Primary solid biofuels
CY,R5110-5150_W6000RI,27.4,Primary solid biofuels,Cyprus,Other Renewable,Renewable,Other Renewable,Primary solid biofuels
CZ,R5110-5150_W6000RI,3670.0,Primary solid biofuels,Czechia,Other Renewable,Renewable,Other Renewable,Primary solid biofuels
DE,R5110-5150_W6000RI,13564.7,Primary solid biofuels,Germany,Other Renewable,Renewable,Other Renewable,Primary solid biofuels
DK,R5110-5150_W6000RI,2992.8,Primary solid biofuels,Denmark,Other Renewable,Renewable,Other Renewable,Primary solid biofuels
EE,R5110-5150_W6000RI,1747.4,Primary solid biofuels,Estonia,Other Renewable,Renewable,Other Renewable,Primary solid biofuels
EL,R5110-5150_W6000RI,794.3,Primary solid biofuels,Greece,Other Renewable,Renewable,Other Renewable,Primary solid biofuels
ES,R5110-5150_W6000RI,5053.7,Primary solid biofuels,Spain,Other Renewable,Renewable,Other Renewable,Primary solid biofuels
FI,R5110-5150_W6000RI,8451.8,Primary solid biofuels,Finland,Other Renewable,Renewable,Other Renewable,Primary solid biofuels
FR,R5110-5150_W6000RI,10088.2,Primary solid biofuels,France,Other Renewable,Renewable,Other Renewable,Primary solid biofuels
HR,R5110-5150_W6000RI,1559.5,Primary solid biofuels,Croatia,Other Renewable,Renewable,Other Renewable,Primary solid biofuels
HU,R5110-5150_W6000RI,2074.6,Primary solid biofuels,Hungary,Other Renewable,Renewable,Other Renewable,Primary solid biofuels
IE,R5110-5150_W6000RI,283.2,Primary solid biofuels,Ireland,Other Renewable,Renewable,Other Renewable,Primary solid biofuels
IT,R5110-5150_W6000RI,8378.1,Primary solid biofuels,Italy,Other Renewable,Renewable,Other Renewable,Primary solid biofuels
LT,R5110-5150_W6000RI,1431.1,Primary solid biofuels,Lithuania,Other Renewable,Renewable,Other Renewable,Primary solid biofuels
LU,R5110-5150_W6000RI,187.0,Primary solid biofuels,Luxembourg,Other Renewable,Renewable,Other Renewable,Primary solid biofuels
LV,R5110-5150_W6000RI,2817.2,Primary solid biofuels,Latvia,Other Renewable,Renewable,Other Renewable,Primary solid biofuels
MT,R5110-5150_W6000RI,1.4,Primary solid biofuels,Malta,Other Renewable,Renewable,Other Renewable,Primary solid biofuels
NL,R5110-5150_W6000RI,2533.8,Primary solid biofuels,Netherlands,Other Renewable,Renewable,Other Renewable,Primary solid biofuels
PL,R5110-5150_W6000RI,9615.0,Primary solid biofuels,Poland,Other Renewable,Renewable,Other Renewable,Primary solid biofuels
PT,R5110-5150_W6000RI,2959.6,Primary solid biofuels,Portugal,Other Renewable,Renewable,Other Renewable,Primary solid biofuels
RO,R5110-5150_W6000RI,3572.3,Primary solid biofuels,Romania,Other Renewable,Renewable,Other Renewable,Primary solid biofuels
SE,R5110-5150_W6000RI,9951.5,Primary solid biofuels,Sweden,Other Renewable,Renewable,Other Renewable,Primary solid biofuels
SI,R5110-5150_W6000RI,529.0,Primary solid biofuels,Slovenia,Other Renewable,Renewable,Other Renewable,Primary solid biofuels
SK,R5110-5150_W6000RI,1322.8,Primary solid biofuels,Slovakia,Other Renewable,Renewable,Other Renewable,Primary solid biofuels
AT,R5200,858.5,Liquid biofuels,Austria,Biomass,Renewable,Biomass,Liquid biofuels
BE,R5200,1131.1,Liquid biofuels,Belgium,Biomass,Renewable,Biomass,Liquid biofuels
BG,R5200,219.9,Liquid biofuels,Bulgaria,Biomass,Renewable,Biomass,Liquid biofuels
CY,R5200,27.3,Liquid biofuels,Cyprus,Biomass,Renewable,Biomass,Liquid biofuels
CZ,R5200,587.8,Liquid biofuels,Czechia,Biomass,Renewable,Biomass,Liquid biofuels
DE,R5200,5814.0,Liquid biofuels,Germany,Biomass,Renewable,Biomass,Liquid biofuels
DK,R5200,310.3,Liquid biofuels,Denmark,Biomass,Renewable,Biomass,Liquid biofuels
EE,R5200,38.9,Liquid biofuels,Estonia,Biomass,Renewable,Biomass,Liquid biofuels
EL,R5200,289.8,Liquid biofuels,Greece,Biomass,Renewable,Biomass,Liquid biofuels
ES,R5200,3384.7,Liquid biofuels,Spain,Biomass,Renewable,Biomass,Liquid biofuels
FI,R5200,492.1,Liquid biofuels,Finland,Biomass,Renewable,Biomass,Liquid biofuels
FR,R5200,3473.8,Liquid biofuels,France,Biomass,Renewable,Biomass,Liquid biofuels
HR,R5200,71.1,Liquid biofuels,Croatia,Biomass,Renewable,Biomass,Liquid biofuels
HU,R5200,642.1,Liquid biofuels,Hungary,Biomass,Renewable,Biomass,Liquid biofuels
IE,R5200,190.7,Liquid biofuels,Ireland,Biomass,Renewable,Biomass,Liquid biofuels
IT,R5200,2797.5,Liquid biofuels,Italy,Biomass,Renewable,Biomass,Liquid biofuels
LT,R5200,250.5,Liquid biofuels,Lithuania,Biomass,Renewable,Biomass,Liquid biofuels
LU,R5200,125.0,Liquid biofuels,Luxembourg,Biomass,Renewable,Biomass,Liquid biofuels
LV,R5200,116.0,Liquid biofuels,Latvia,Biomass,Renewable,Biomass,Liquid biofuels
MT,R5200,14.6,Liquid biofuels,Malta,Biomass,Renewable,Biomass,Liquid biofuels
NL,R5200,2166.2,Liquid biofuels,Netherlands,Biomass,Renewable,Biomass,Liquid biofuels
PL,R5200,1343.0,Liquid biofuels,Poland,Biomass,Renewable,Biomass,Liquid biofuels
PT,R5200,320.8,Liquid biofuels,Portugal,Biomass,Renewable,Biomass,Liquid biofuels
RO,R5200,499.6,Liquid biofuels,Romania,Biomass,Renewable,Biomass,Liquid biofuels
SE,R5200,2105.0,Liquid biofuels,Sweden,Biomass,Renewable,Biomass,Liquid biofuels
SI,R5200,96.2,Liquid biofuels,Slovenia,Biomass,Renewable,Biomass,Liquid biofuels
SK,R5200,283.8,Liquid biofuels,Slovakia,Biomass,Renewable,Biomass,Liquid biofuels
AT,R5300,210.6,Biogases,Austria,Biomass,Renewable,Biomass,Biogases
BE,R5300,243.9,Biogases,Belgium,Biomass,Renewable,Biomass,Biogases
BG,R5300,53.3,Biogases,Bulgaria,Biomass,Renewable,Biomass,Biogases
CY,R5300,13.3,Biogases,Cyprus,Biomass,Renewable,Biomass,Biogases
CZ,R5300,594.5,Biogases,Czechia,Biomass,Renewable,Biomass,Biogases
DE,R5300,7744.8,Biogases,Germany,Biomass,Renewable,Biomass,Biogases
DK,R5300,510.6,Biogases,Denmark,Biomass,Renewable,Biomass,Biogases
EE,R5300,19.9,Biogases,Estonia,Biomass,Renewable,Biomass,Biogases
EL,R5300,135.3,Biogases,Greece,Biomass,Renewable,Biomass,Biogases
ES,R5300,323.4,Biogases,Spain,Biomass,Renewable,Biomass,Biogases
